R_mean;G_mean;B_mean;H_mean_deg;S_mean;V_mean;L_star;a_star;b_star;C_star;h_deg;image;area_pixels
143,82597435266067;112,83267405133365;72,37843022977735;33,72839825474798;128,02819825581085;143,82597435266067;49,62526780020586;6,978568758713408;27,039912985404868;27,925925520533024;75,52865955118965;solar2.20.04.26.JPG;564503
142,63664246457216;114,02686772611685;76,13422258857706;33,826073038439915;119,68925751121905;142,6366464660207;49,88318084872214;6,179591011946314;25,205896534545502;25,952351823777754;76,22480822529518;Solar2_23.04.26.JPG;499819
138,21273259005986;104,63157816058839;61,2804113371856;33,48099597197232;143,13029256201042;138,21389316213762;46,64291163163207;8,180869858285178;29,3184533678334;30,438435234420652;74,40904583680631;Solar3.07.05.26.JPG;735844
136,7754889178618;108,56717854162007;73,03385902800129;33,15478989487925;120,00925629933502;136,7756329338345;47,71053559630089;6,410028748643043;24,061254793713488;24,900450815325225;75,08260265021914;Solar3.16.04.26.JPG;916565
144,09938832834388;113,00437779502532;71,72286654100603;33,983945004989465;129,4965166130761;144,09938832834388;49,69902971722007;6,945901245518712;27,49683076468196;28,36055793199525;75,82324112692692;solar3.20.04.26.JPG;541140
141,69543128031052;109,90606877239328;67,81601570479903;33,89127439649487;134,08507139265822;141,69544014201108;48,548797123373106;7,263662177049326;28,141803533299935;29,064099750880803;75,52729836863581;Solar3_10.04.26.JPG;2144058
141,72705732484076;110,95980401763842;72,35665654091132;33,08891719745223;125,97592356687898;141,72749828515433;48,89360194445244;7,1254032337089654;26,064658500734936;27,021062044318022;74,71039083715745;Solar3_23.04.26.JPG;510250
140,90899675268372;109,45526091366699;57,914023322714826;37,343690538123305;151,2706057301948;140,90912502999075;48,24195205456322;6,397322329990999;33,074906820789465;33,68790872401709;79,05307161255503;SolarWithoutSkin_10.04.26.JPG;420963
152,38771379994859;120,75612018321064;73,39957944547501;35,549631937368964;133,1259604158473;152,38772618741618;52,69477759546745;6,35981877134904;30,47948325678911;31,135930922413277;78,21382858964638;solar_1_08.04.26.JPG;645814
156,95539677670985;123,05871115103938;71,16649098577997;35,967950823883676;140,68318274600904;156,95539677670985;53,76286233972993;6,849757809495486;33,135263902793724;33,83585222743073;78,32027180425955;solar_2_08.04.26.JPG;642263
153,4562487610231;119,76167982769252;72,0523599241594;34,86317681583847;136,87260702632165;153,4562487610231;52,52136858834742;7,285187856262866;31,064094783709606;31,9069263143966;76,80145071003176;solar_3_08.04.26.JPG;822251
144,19780942951687;112,34575061211513;68,89925259905486;34,28205304725991;134,12931141464492;144,19784068067744;49,49876690682016;7,083952393159535;28,768578362058747;29,627917282226665;76,16673683172188;Solqr2_10.04.26.JPG;2207918
142,0969962846739;108,73155658841291;54,19747846295035;37,11610394031795;158,63189407620118;142,09702218834187;48,13030299600227;6,983519716391839;34,9314440924835;35,622680050994674;78,69443487944868;WithoutSkinSlow_10.04.26.JPG;540464
